project_id,project_name,city_norm,locality_norm,bhk,price_lakhs,possession_norm
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,3.0,99.0,under_construction
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,3.0,110.0,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,2.0,7843.0,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,2.0,80.37,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,3.0,139.0,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,2.0,84.09,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,2.0,88.85,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,3.0,110.0,under_construction
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,5.0,100.88,ready_to_move
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,2.0,9800.0,ready_to_move
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,2.0,1200.0,ready_to_move
cmftjwws60001vx55r0q7797l,TESTING,,address,4.0,200.0,ready_to_move
cmftjwws60001vx55r0q7797l,TESTING,,address,4.0,100.0,ready_to_move
cmfw5ivra0001vxnkbozvz8bd,testing igi,,awsedrftgyhujk,,800.0,ready_to_move
cmfw5ivra0001vxnkbozvz8bd,testing igi,,awsedrftgyhujk,3.0,9600.0,ready_to_move
cmfwd377z0008vxgxd9nju858,some project testing,,address,4.0,300.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,1.0,109.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,2.0,187.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,2.0,172.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,3.0,239.0,under_construction
cmfxtgtbw0009vxov4t5onh7d,testring999,,sdfghj,3.0,800.0,under_construction
cmfxwmse70001qq0908yt6oar,Queens Glory,maharashtra 400071,mumbai,,79.44,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,1.0,107.0,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,2.0,153.0,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,2.0,167.0,under_construction
